"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Gm6644",10.6273297234942,4.80874395848238,2.94372461439181,1.63355768232277,0.102351759581667,0.232562832772648
"2","Snora31",2.17483739342974,4.50793360410481,3.01584049703251,1.49475199651323,0.134979178587037,0.284964671631729
"3","Zar1",2.1639558218629,4.50563776531163,1.25496098849773,3.59026121656989,0.000330346737434534,0.00254643586424917
"4","Tnfsf11",1.69275406553338,4.14897076660641,1.73004397369797,2.39818804012131,0.0164764045031603,0.0593788216558511
"5","Serpina3h",1.49763629485173,3.9692507477535,1.86937824965864,2.12329995199115,0.0337287247265139,0.102342046206686
"6","Gjb4",2.82253072062236,3.83070338957316,1.24232838439947,3.08348697307185,0.00204590067166974,0.011423062916287
"7","Gng8",1.27353856768773,3.73427472211091,1.13955117025739,3.27696975754713,0.0010492760751922,0.00656932776133664
"8","4833415N18Rik",3.42877877001969,3.60740970443653,1.09623250618758,3.2907341134977,0.000999263136852444,0.00633701002208225
"9","Chodl",1.7142193234428,3.59942421887994,1.1665692467536,3.08547840507251,0.00203224981087012,0.0113625064477324
"10","Chmp4c",3.33302488453126,3.57651723209646,1.00611063383732,3.55479518038247,0.000378273638390584,0.0028465325935783
"11","Penk",1801.21625989494,3.55820214592405,0.317986577973299,11.1897872187009,4.57530266364346e-29,4.63335181618844e-26
"12","Shisa8",13.2174441755564,3.53899811727202,0.703720685811457,5.02898122596924,4.93092661928334e-07,1.02299364932456e-05
"13","Ly6g6e",9.66996138053937,3.52795032143428,1.01319606662172,3.48200159639136,0.000497680725215821,0.00357760460988108
"14","Gm13749",3.91927278843362,3.39805156498526,1.18323328230498,2.87183568599908,0.00408095097795411,0.0198390785165888
"15","Fgf3",2.10029603880984,3.37436658851466,1.43671232164731,2.34867240829791,0.0188404746083699,0.0657489145120436
"16","Ccdc68",3.9331282132446,3.36648660802857,0.856691047994733,3.92963906405762,8.50734645575681e-05,0.000816614541603244
"17","Ifi202b",1.47247341307571,3.36550032111015,1.48755219817436,2.26244183245506,0.0236701188267134,0.0780478093913793
"18","Hcar2",1.33528308651601,3.23605241571015,1.3128546380536,2.46489772889695,0.0137052363743884,0.051487807849398
"19","Serpina9",5.4491299855237,3.22692329777754,0.909205087319018,3.5491698658361,0.00038644770215872,0.00290023720151818
"20","Tnf",1.31676257189904,3.21254973196617,1.48858520120692,2.1581228466879,0.0309182818929579,0.0956777924964852
"21","Cldn3",2.64054468354073,3.19512974052535,1.07395416921453,2.97510809317144,0.002928853240816,0.0152641392926798
"22","Cstl1",1.29841240988162,3.17230895070385,1.10783320277731,2.86352579318885,0.00418954702505437,0.020273067178628
"23","Tdrd9",1.77394163165022,3.10582542559507,1.09406335122466,2.83879852306406,0.00452837394006861,0.0215360266953131
"24","Gsdma",2.34904401799202,3.02884638751908,1.08638631915697,2.78800122397478,0.00530343434320784,0.0245244013755941
"25","Ptprcap",2.31909472378951,2.98948982313573,0.988627618221299,3.02387852416495,0.00249556620718622,0.0134337738388832
"26","Oit3",17.4564204533127,2.95820742910954,0.414842970747,7.13090889254494,9.97083046007744e-13,8.1184606002329e-11
"27","Odf4",1.55494088887084,2.88013491724034,1.19775888254002,2.4046032629978,0.0161900314613085,0.0585551517338352
"28","Steap1",1.47837016367689,2.82333001413238,1.86083663677529,1.51723690212002,0.129206882485996,0.27597404652262
"29","Serpina3g",6.08188525501988,2.79694768171047,1.05104669695453,2.66110696110345,0.00778842113136159,0.0330369034392707
"30","Drd4",3.992488534964,2.7631654013296,0.88481626683798,3.12286912536563,0.00179097367394415,0.0102036379883675
"31","Lefty2",10.4892167632661,2.7185671391154,0.581074769973954,4.67851519217959,2.88959764061784e-06,4.61737185117661e-05
"32","Agmat",4.52860476063858,2.71467362555529,0.734761972562048,3.69462999845987,0.00022020721038888,0.00180842241760315
"33","Cdc25c",1.95057627758419,2.68618755495106,1.01646209449449,2.64268345027363,0.00822518939293456,0.034508737372791
"34","Fcgr4",1.85677699175268,2.60952340113407,1.11612536966409,2.33801996806098,0.0193862123199587,0.0670978094691065
